2024-11-21 20:30:01.727 [info] Extension host with pid 136995 started
2024-11-21 20:30:01.738 [info] Lock '/var/www/html/2_team/2_team2/.vscode-server/data/User/workspaceStorage/5bc055b56f09686021ebb31cab71230f/vscode.lock': Lock acquired.
2024-11-21 20:30:01.888 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2024-11-21 20:30:01.889 [info] ExtensionService#_doActivateExtension ms-dotnettools.vscode-dotnet-runtime, startup: false, activationEvent: '*', root cause: Oracle.oracledevtools
2024-11-21 20:30:02.076 [info] ExtensionService#_doActivateExtension Oracle.oracledevtools, startup: false, activationEvent: '*'
2024-11-21 20:30:02.721 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-11-21 20:30:02.721 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2024-11-21 20:30:03.018 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-11-21 20:30:03.263 [info] Eager extensions activated
2024-11-21 20:30:03.264 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-11-21 20:30:03.264 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-11-21 20:30:03.265 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2024-11-21 20:30:03.265 [info] ExtensionService#_doActivateExtension ritwickdey.LiveServer, startup: false, activationEvent: 'onStartupFinished'
2024-11-21 20:30:25.078 [info] ExtensionService#_doActivateExtension vscode.php-language-features, startup: false, activationEvent: 'onLanguage:php'
